am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
No thank you! I will give them a call.|Do you need any further assistance?
No thank you, I appreciate all your help!|You're very welcome. Good day!
Hi, I'm looking for some kind of entertainment in Cambridge?|Ok! Whale of a time is located at Unit 8 Viking Way Bar Hill on the west side of town. Phone is 01954781018.
Great, thanks! Do I have any other entertainment options?|Yes, there is everything from parks to nightclubs.  Several colleges and museums.  Holy Trinity Church is a great architectural attraction.
The whale of time sounds great. I also need a place to stay that has free internet and in the west.|Okay, I have 4 options available. Is there a price range or star rating you'd prefer?
A 4 star rating please.|There are 3 options, any preference on pricing?
I would like the moderate price range.|I'm afraid there is nothing along those lines available.  Can I change your search criteria a bit?
Can you try looking in the north?|How about the avalon it's a 4 star moderately priced hotel in the north.
Perfect. I need 5 nights for 6 people starting on Wednesday. Could I have the reference number after booking?|Booking was successful.
Reference number is : BVCGE59G. anything else?
Yes, I'll need a taxi to get to the hotel from whale of a time. I need it to leave by 06:00|I have booked a white volvo for you with Contact number: 07201581539.  Can I help with anything else today?
No thanks, that's all I needed.  Have a good day.|Thank you for contacting us and have a nice day.
I am looking for a guesthouse that has free parking.|I have a listing for arbury lodge guesthouse in the north of town, is that okay?
What is its rating. I need a 4 star hotel?|Yes it is 4 stars. Would you like me to book that for you?
Yes I need a room booked for 8 people. We will be there for 3 nights starting on Friday.|I'm sorry, the booking was unsuccessful. Would you like me to find you another guesthouse?
Yes please could you try a different hotel in the same price range?|Is there a price range you would like to stay within?
Yes, the same price range as the Arbury Lodge please.|You are booked at limehouse. Reference number: ZUP4YPXA.
Okay great. That is all I need.|Sounds wonderful. I hope you have a great day.
Could you help me find a place to stay? I need a place in town that offers free parking and free wifi.|I am showing 25 entries, maybe we can narrow it down a bit. What price range and part of town are you looking for.
Are any of them a guesthouse in the moderate price range?|Yes! The Acorn Guest House is very popular. Would you like more information on that hotel?
Could i get the postcode, please?|The postcode for the acorn guest house is cb41da.
I am also looking for a place to dine.|Is there a specific type of food you would like to eat?
Yes, I would like british food in the moderate price range please.|I have found Restaurant One Seven within your range. Would you like for me to book it?
Great! Can I have the address and phone number, please?|The address is De Vere University Arms Regent Street City Centre and the phone number is 01223337766.  Have a great night!
I want some entertainment in the centre.  What do you have?|I'm sorry, there is not anything in the centre.  There are some venues in all of the other areas though.  Do you have a second preference?
Are there any musems in centre?|There are 11. What kind of museum would you like to visit?
Could you just pick one for me?|How about castle galleries?
Sounds interesting.  What is their address with postcode?  Is it free?|It is free! The address is unit su43, grande arcade, saint andrews street cb23bj Do you need anything else?
I need a place to stay. Can you suggest a hotel in the centre of town?|Of course, there are three hotels in the centre. Do you have any particular needs?
I would like moderate pricing and 4 stars please|Sorry, no places matching that query. Would you like to change your area, type, star rating, or price range?
Type does not matter. Please try the search again without type specified|I am still having issues finding a hotel for you, would you please restate your criteria one more time?
Okay. I don't care if it is a hotel or guest house, but it needs to be expensive, 4 stars, and in the centre.|I found the University Arms Hotel, would you like me to book it for you?
Is that 4 stars and in the moderate price range?|It is 4 stars in the expensive price range. They also have parking and wifi. Would you like me to book this?
No need to book it, just give me the address please|The address for the University Arms Hotel is Regent Street.
Okay thank you I won't be needing any more from you today. Goodbye|Its been such a pleasure talking to someone as polite and eloquent as you, enjoy your day.
